fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location
ebe122e962d26fa4,Rodrigo Nascimento,d31a5546c0e9b213,Don'Tale Mayes,1a9480fc288e55d7,Rodrigo Nascimento,Submission,2,2:05,3 Rnd (5-5-5),Heavyweight Bout,"May 16, 2020","Jacksonville, Florida, USA"
2300ad7f87080ad7,Chris Gutierrez,45f0cc9d18f35137,Vince Morales,37098a6e6c27fb66,Chris Gutierrez,KO/TKO,2,4:27,3 Rnd (5-5-5),Featherweight Bout,"May 30, 2020","Las Vegas, Nevada, USA"
20ba608a6e717f05,Evan Dunham,e5c9de15bb58b1c6,Herbert Burns,4f140403000158b5,Herbert Burns,Submission,1,1:20,3 Rnd (5-5-5),Catch Weight Bout,"June 06, 2020","Las Vegas, Nevada, USA"
58e72b1a38880ba9,Anthony Ivy,3c5005b66696d790,Christian Aguilera,ae071698e1a3ccd4,Christian Aguilera,KO/TKO,1,0:59,3 Rnd (5-5-5),Welterweight Bout,"June 13, 2020","Las Vegas, Nevada, USA"
d333a6c34ff16397,Austin Hubbard,d2cd7a69cc55e7ed,Max Rohskopf,59a27d2e6d0802ac,Austin Hubbard,TKO - Doctor's Stoppage,2,5:00,3 Rnd (5-5-5),Lightweight Bout,"June 20, 2020","Las Vegas, Nevada, USA"
0f369d09416b9e34,Jordan Griffin,ebef46976554f975,Youssef Zalal,52c2ae6d2f2d2613,Youssef Zalal,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"June 27, 2020","Las Vegas, Nevada, USA"
5d6fb4acfe5cc8a1,Martin Day,ea3dcc417c322064,Davey Grant,113df4fde64735c6,Davey Grant,KO/TKO,3,2:38,3 Rnd (5-5-5),Bantamweight Bout,"July 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
f3c42ce9fad55eb7,Jack Shore,b8a85389d115e35a,Aaron Phillips,34c2b3656f88f7ef,Jack Shore,Submission,2,2:29,3 Rnd (5-5-5),Bantamweight Bout,"July 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
147e31abbe3927d0,Carlos Felipe,a2ea77e974c5889f,Serghei Spivac,e2f6b2769aaedd6c,Serghei Spivac,Decision - Majority,3,5:00,3 Rnd (5-5-5),Heavyweight Bout,"July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
67db05bac9165722,Nathaniel Wood,329e403448756217,John Castaneda,5fa2974cbd18e05c,Nathaniel Wood,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
dcf161082c849205,Chris Gutierrez,45f0cc9d18f35137,Cody Durden,7f6ed67d3ed3c036,Draw,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"August 01, 2020","Las Vegas, Nevada, USA"
15aa55a91cf848cf,Heili Alateng,1897b7b913736a7c,Ryan Benoit,20999e27ddd94bda,Heili Alateng,Decision - Split,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"December 21, 2019","Busan, South Korea"
96fe84d051847591,Sabina Mazo,70d2329a92864fdb,JJ Aldrich,6fd953151d981979,Sabina Mazo,Decision - Split,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"January 18, 2020","Las Vegas, Nevada, USA"
901dbd1e6463c4ba,Herbert Burns,4f140403000158b5,Nate Landwehr,583ee11abddfc581,Herbert Burns,KO/TKO,1,2:43,3 Rnd (5-5-5),Featherweight Bout,"January 25, 2020","Raleigh, North Carolina, USA"
a6441acec6718f03,Austin Lingo,305d73ede05e31ad,Youssef Zalal,52c2ae6d2f2d2613,Youssef Zalal,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"February 08, 2020","Houston, Texas, USA"
4af9088a165c7751,Nik Lentz,6fb1ba67bef41b37,Eiji Mitsuoka,2b4faacc16d66898,Nik Lentz,KO/TKO,1,3:45,3 Rnd (5-5-5),Featherweight Bout,"August 11, 2012","Denver, Colorado, USA"
567a09fd200cfa05,Gerard Gordeau,279093302a6f44b3,Teila Tuli,96eff1a628adcc7f,Gerard Gordeau,KO/TKO,1,0:26,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
2d2bbc86e941e05c,Kevin Rosier,598a58db87b890ee,Zane Frazier,d3711d3784b76255,Kevin Rosier,KO/TKO,1,4:20,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
cecdc0da584274b9,Royce Gracie,429e7d3725852ce9,Art Jimmerson,a5c53b3ddb31cc7d,Royce Gracie,Submission,1,2:18,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
46acd54cc0c905fb,Ken Shamrock,63b65af1c5cb02cb,Patrick Smith,46c8ec317aff28ac,Ken Shamrock,Submission,1,1:49,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
ac7ca2ec38b96c1a,Gerard Gordeau,279093302a6f44b3,Kevin Rosier,598a58db87b890ee,Gerard Gordeau,KO/TKO,1,0:59,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
ffd16691c4c4aafc,Royce Gracie,429e7d3725852ce9,Ken Shamrock,63b65af1c5cb02cb,Royce Gracie,Submission,1,0:57,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
00b0796724ec1c09,Jason DeLucia,6ceff86fae4f6b3b,Trent Jenkins,02fc8f50f56eb307,Jason DeLucia,Submission,1,0:52,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
64139d1d505e46c5,Royce Gracie,429e7d3725852ce9,Gerard Gordeau,279093302a6f44b3,Royce Gracie,Submission,1,1:44,No Time Limit,UFC 1 Tournament Title Bout,"November 12, 1993","Denver, Colorado, USA"
be6d6abb11ef8297,Dustin Pague,55f80a8aeffcdb33,Chico Camus,32be4b7f7de1c905,Chico Camus,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"August 11, 2012","Denver, Colorado, USA"
19da5aa17c896a1a,Ken Stone,fbf0947399d14323,Erik Perez,af62f99eb7606308,Erik Perez,KO/TKO,1,0:17,3 Rnd (5-5-5),Bantamweight Bout,"August 11, 2012","Denver, Colorado, USA"
9360a34eb511a9b4,Jared Hamman,23459ee7e373b98f,Michael Kuiper,b7f38813485745da,Michael Kuiper,KO/TKO,2,2:16,3 Rnd (5-5-5),Middleweight Bout,"August 11, 2012","Denver, Colorado, USA"
0c58b5f37bfeb65a,Dennis Bermudez,6f242453c91a5af0,Tommy Hayden,0871254cd790c250,Dennis Bermudez,Submission,1,4:43,3 Rnd (5-5-5),Featherweight Bout,"August 11, 2012","Denver, Colorado, USA"
42f11b82d67585af,Justin Lawrence,879f6cae48d25baa,Max Holloway,150ff4cc642270b9,Max Holloway,KO/TKO,2,4:49,3 Rnd (5-5-5),Featherweight Bout,"August 11, 2012","Denver, Colorado, USA"
f0d5e2c27c9fd2c1,Yushin Okami,acff437707625fc7,Buddy Roberts,b2a2da86546ddb19,Yushin Okami,KO/TKO,2,3:05,3 Rnd (5-5-5),Middleweight Bout,"August 11, 2012","Denver, Colorado, USA"
c47cf097227cc6a0,Jake Shields,fe435e440b5de0ff,Ed Herman,06f36cf4bd97ec77,NC,Overturned,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"August 11, 2012","Denver, Colorado, USA"
7c07a71fa1882bf4,Donald Cerrone,1d00756835ca67c9,Melvin Guillard,ccd1299e0345e0ce,Donald Cerrone,KO/TKO,1,1:16,3 Rnd (5-5-5),Lightweight Bout,"August 11, 2012","Denver, Colorado, USA"
7ddf71a85fbb0e4c,Benson Henderson,2676b28836a5a836,Frankie Edgar,f2688492b9a525a3,Benson Henderson,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),UFC Lightweight Title Bout,"August 11, 2012","Denver, Colorado, USA"
326b843cb2b7fd94,Andre Ewell,5f6f049d54728e88,Jonathan Martinez,f2477cf43c4975cc,Andre Ewell,Decision - Split,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"February 08, 2020","Houston, Texas, USA"
5ab2a4fec735e0b2,Domingo Pilarte,4bf6b225ff6099c4,Journey Newson,78f485f851891d68,NC,Overturned,1,0:38,3 Rnd (5-5-5),Bantamweight Bout,"February 08, 2020","Houston, Texas, USA"
d3f44fedc561d2d5,Miles Johns,46e0d677f91bacc0,Mario Bautista,bc711b6dd95c1af6,Mario Bautista,KO/TKO,2,1:41,3 Rnd (5-5-5),Bantamweight Bout,"February 08, 2020","Houston, Texas, USA"
ed499508be1e5532,Alex Morono,cdb96af67d096b1e,Khaos Williams,2558ae2e5671e318,Khaos Williams,KO/TKO,1,0:27,3 Rnd (5-5-5),Welterweight Bout,"February 08, 2020","Houston, Texas, USA"
cb56e868deaddac4,Lauren Murphy,729d4bd5a6cd0a97,Andrea Lee,05fa626cb33d15b8,Lauren Murphy,Decision - Split,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"February 08, 2020","Houston, Texas, USA"
11f7bac5037a184c,Trevin Giles,b27a1fcb56a3035a,James Krause,8f6a18831a120817,Trevin Giles,Decision - Split,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"February 08, 2020","Houston, Texas, USA"
cefb47bcc04f540e,Derrick Lewis,d3df1add9d9a7efb,Ilir Latifi,e9a3aeb207578eea,Derrick Lewis,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Heavyweight Bout,"February 08, 2020","Houston, Texas, USA"
